instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
260105,1016,NIFTY BANK,NIFTY BANK,0.0,,0.0,0.0,0,EQ,INDICES,NSE
9685250,37833,BANKNIFTY23MARFUT,BANKNIFTY,0.0,2023-03-29,0.0,0.05,25,FUT,NFO-FUT,NFO
10621954,41492,BANKNIFTY2332334000CE,BANKNIFTY,0.0,2023-03-23,34000.0,0.05,25,CE,NFO-OPT,NFO
10622722,41495,BANKNIFTY2332334000PE,BANKNIFTY,0.0,2023-03-23,34000.0,0.05,25,PE,NFO-OPT,NFO
10624770,41503,BANKNIFTY2332334500CE,BANKNIFTY,0.0,2023-03-23,34500.0,0.05,25,CE,NFO-OPT,NFO
10625026,41504,BANKNIFTY2332334500PE,BANKNIFTY,0.0,2023-03-23,34500.0,0.05,25,PE,NFO-OPT,NFO
10625282,41505,BANKNIFTY2332335000CE,BANKNIFTY,0.0,2023-03-23,35000.0,0.05,25,CE,NFO-OPT,NFO
10625794,41507,BANKNIFTY2332335000PE,BANKNIFTY,0.0,2023-03-23,35000.0,0.05,25,PE,NFO-OPT,NFO
10626050,41508,BANKNIFTY2332335500CE,BANKNIFTY,0.0,2023-03-23,35500.0,0.05,25,CE,NFO-OPT,NFO
10626818,41511,BANKNIFTY2332335500PE,BANKNIFTY,0.0,2023-03-23,35500.0,0.05,25,PE,NFO-OPT,NFO
10627842,41515,BANKNIFTY2332336000CE,BANKNIFTY,0.0,2023-03-23,36000.0,0.05,25,CE,NFO-OPT,NFO
10628098,41516,BANKNIFTY2332336000PE,BANKNIFTY,0.0,2023-03-23,36000.0,0.05,25,PE,NFO-OPT,NFO
10628354,41517,BANKNIFTY2332336500CE,BANKNIFTY,0.0,2023-03-23,36500.0,0.05,25,CE,NFO-OPT,NFO
10628610,41518,BANKNIFTY2332336500PE,BANKNIFTY,0.0,2023-03-23,36500.0,0.05,25,PE,NFO-OPT,NFO
10628866,41519,BANKNIFTY2332337000CE,BANKNIFTY,0.0,2023-03-23,37000.0,0.05,25,CE,NFO-OPT,NFO
10629122,41520,BANKNIFTY2332337000PE,BANKNIFTY,0.0,2023-03-23,37000.0,0.05,25,PE,NFO-OPT,NFO
9013762,35210,BANKNIFTY2332337100CE,BANKNIFTY,0.0,2023-03-23,37100.0,0.05,25,CE,NFO-OPT,NFO
9015042,35215,BANKNIFTY2332337100PE,BANKNIFTY,0.0,2023-03-23,37100.0,0.05,25,PE,NFO-OPT,NFO
9015554,35217,BANKNIFTY2332337200CE,BANKNIFTY,0.0,2023-03-23,37200.0,0.05,25,CE,NFO-OPT,NFO
9015810,35218,BANKNIFTY2332337200PE,BANKNIFTY,0.0,2023-03-23,37200.0,0.05,25,PE,NFO-OPT,NFO
9016066,35219,BANKNIFTY2332337300CE,BANKNIFTY,0.0,2023-03-23,37300.0,0.05,25,CE,NFO-OPT,NFO
9016322,35220,BANKNIFTY2332337300PE,BANKNIFTY,0.0,2023-03-23,37300.0,0.05,25,PE,NFO-OPT,NFO
9017346,35224,BANKNIFTY2332337400CE,BANKNIFTY,0.0,2023-03-23,37400.0,0.05,25,CE,NFO-OPT,NFO
9018370,35228,BANKNIFTY2332337400PE,BANKNIFTY,0.0,2023-03-23,37400.0,0.05,25,PE,NFO-OPT,NFO
10634498,41541,BANKNIFTY2332337500CE,BANKNIFTY,0.0,2023-03-23,37500.0,0.05,25,CE,NFO-OPT,NFO
10634754,41542,BANKNIFTY2332337500PE,BANKNIFTY,0.0,2023-03-23,37500.0,0.05,25,PE,NFO-OPT,NFO
10635010,41543,BANKNIFTY2332337600CE,BANKNIFTY,0.0,2023-03-23,37600.0,0.05,25,CE,NFO-OPT,NFO
10635266,41544,BANKNIFTY2332337600PE,BANKNIFTY,0.0,2023-03-23,37600.0,0.05,25,PE,NFO-OPT,NFO
10635522,41545,BANKNIFTY2332337700CE,BANKNIFTY,0.0,2023-03-23,37700.0,0.05,25,CE,NFO-OPT,NFO
10635778,41546,BANKNIFTY2332337700PE,BANKNIFTY,0.0,2023-03-23,37700.0,0.05,25,PE,NFO-OPT,NFO
10638594,41557,BANKNIFTY2332337800CE,BANKNIFTY,0.0,2023-03-23,37800.0,0.05,25,CE,NFO-OPT,NFO
10639362,41560,BANKNIFTY2332337800PE,BANKNIFTY,0.0,2023-03-23,37800.0,0.05,25,PE,NFO-OPT,NFO
10639874,41562,BANKNIFTY2332337900CE,BANKNIFTY,0.0,2023-03-23,37900.0,0.05,25,CE,NFO-OPT,NFO
10640642,41565,BANKNIFTY2332337900PE,BANKNIFTY,0.0,2023-03-23,37900.0,0.05,25,PE,NFO-OPT,NFO
10640898,41566,BANKNIFTY2332338000CE,BANKNIFTY,0.0,2023-03-23,38000.0,0.05,25,CE,NFO-OPT,NFO
10641154,41567,BANKNIFTY2332338000PE,BANKNIFTY,0.0,2023-03-23,38000.0,0.05,25,PE,NFO-OPT,NFO
10641410,41568,BANKNIFTY2332338100CE,BANKNIFTY,0.0,2023-03-23,38100.0,0.05,25,CE,NFO-OPT,NFO
10641666,41569,BANKNIFTY2332338100PE,BANKNIFTY,0.0,2023-03-23,38100.0,0.05,25,PE,NFO-OPT,NFO
10641922,41570,BANKNIFTY2332338200CE,BANKNIFTY,0.0,2023-03-23,38200.0,0.05,25,CE,NFO-OPT,NFO
10642178,41571,BANKNIFTY2332338200PE,BANKNIFTY,0.0,2023-03-23,38200.0,0.05,25,PE,NFO-OPT,NFO
10642434,41572,BANKNIFTY2332338300CE,BANKNIFTY,0.0,2023-03-23,38300.0,0.05,25,CE,NFO-OPT,NFO
10642690,41573,BANKNIFTY2332338300PE,BANKNIFTY,0.0,2023-03-23,38300.0,0.05,25,PE,NFO-OPT,NFO
10642946,41574,BANKNIFTY2332338400CE,BANKNIFTY,0.0,2023-03-23,38400.0,0.05,25,CE,NFO-OPT,NFO
10643202,41575,BANKNIFTY2332338400PE,BANKNIFTY,0.0,2023-03-23,38400.0,0.05,25,PE,NFO-OPT,NFO
