instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
260105,1016,NIFTY BANK,NIFTY BANK,0.0,,0.0,0.0,0,EQ,INDICES,NSE
9685250,37833,BANKNIFTY23MARFUT,BANKNIFTY,0.0,2023-03-29,0.0,0.05,25,FUT,NFO-FUT,NFO
11020290,43048,BANKNIFTY2331634500CE,BANKNIFTY,0.0,2023-03-16,34500.0,0.05,25,CE,NFO-OPT,NFO
11020546,43049,BANKNIFTY2331634500PE,BANKNIFTY,0.0,2023-03-16,34500.0,0.05,25,PE,NFO-OPT,NFO
11067138,43231,BANKNIFTY2331635000CE,BANKNIFTY,0.0,2023-03-16,35000.0,0.05,25,CE,NFO-OPT,NFO
11067394,43232,BANKNIFTY2331635000PE,BANKNIFTY,0.0,2023-03-16,35000.0,0.05,25,PE,NFO-OPT,NFO
11422466,44619,BANKNIFTY2331635500CE,BANKNIFTY,0.0,2023-03-16,35500.0,0.05,25,CE,NFO-OPT,NFO
11422978,44621,BANKNIFTY2331635500PE,BANKNIFTY,0.0,2023-03-16,35500.0,0.05,25,PE,NFO-OPT,NFO
11515138,44981,BANKNIFTY2331636000CE,BANKNIFTY,0.0,2023-03-16,36000.0,0.05,25,CE,NFO-OPT,NFO
11515906,44984,BANKNIFTY2331636000PE,BANKNIFTY,0.0,2023-03-16,36000.0,0.05,25,PE,NFO-OPT,NFO
12373762,48335,BANKNIFTY2331636500CE,BANKNIFTY,0.0,2023-03-16,36500.0,0.05,25,CE,NFO-OPT,NFO
12374018,48336,BANKNIFTY2331636500PE,BANKNIFTY,0.0,2023-03-16,36500.0,0.05,25,PE,NFO-OPT,NFO
12726274,49712,BANKNIFTY2331637000CE,BANKNIFTY,0.0,2023-03-16,37000.0,0.05,25,CE,NFO-OPT,NFO
12726530,49713,BANKNIFTY2331637000PE,BANKNIFTY,0.0,2023-03-16,37000.0,0.05,25,PE,NFO-OPT,NFO
9998082,39055,BANKNIFTY2331637400CE,BANKNIFTY,0.0,2023-03-16,37400.0,0.05,25,CE,NFO-OPT,NFO
9998338,39056,BANKNIFTY2331637400PE,BANKNIFTY,0.0,2023-03-16,37400.0,0.05,25,PE,NFO-OPT,NFO
12869890,50273,BANKNIFTY2331637500CE,BANKNIFTY,0.0,2023-03-16,37500.0,0.05,25,CE,NFO-OPT,NFO
12870146,50274,BANKNIFTY2331637500PE,BANKNIFTY,0.0,2023-03-16,37500.0,0.05,25,PE,NFO-OPT,NFO
12870402,50275,BANKNIFTY2331637600CE,BANKNIFTY,0.0,2023-03-16,37600.0,0.05,25,CE,NFO-OPT,NFO
12870658,50276,BANKNIFTY2331637600PE,BANKNIFTY,0.0,2023-03-16,37600.0,0.05,25,PE,NFO-OPT,NFO
12870914,50277,BANKNIFTY2331637700CE,BANKNIFTY,0.0,2023-03-16,37700.0,0.05,25,CE,NFO-OPT,NFO
12871170,50278,BANKNIFTY2331637700PE,BANKNIFTY,0.0,2023-03-16,37700.0,0.05,25,PE,NFO-OPT,NFO
12959234,50622,BANKNIFTY2331637800CE,BANKNIFTY,0.0,2023-03-16,37800.0,0.05,25,CE,NFO-OPT,NFO
12960002,50625,BANKNIFTY2331637800PE,BANKNIFTY,0.0,2023-03-16,37800.0,0.05,25,PE,NFO-OPT,NFO
14096642,55065,BANKNIFTY2331637900CE,BANKNIFTY,0.0,2023-03-16,37900.0,0.05,25,CE,NFO-OPT,NFO
14096898,55066,BANKNIFTY2331637900PE,BANKNIFTY,0.0,2023-03-16,37900.0,0.05,25,PE,NFO-OPT,NFO
14097154,55067,BANKNIFTY2331638000CE,BANKNIFTY,0.0,2023-03-16,38000.0,0.05,25,CE,NFO-OPT,NFO
14097410,55068,BANKNIFTY2331638000PE,BANKNIFTY,0.0,2023-03-16,38000.0,0.05,25,PE,NFO-OPT,NFO
14097666,55069,BANKNIFTY2331638100CE,BANKNIFTY,0.0,2023-03-16,38100.0,0.05,25,CE,NFO-OPT,NFO
14097922,55070,BANKNIFTY2331638100PE,BANKNIFTY,0.0,2023-03-16,38100.0,0.05,25,PE,NFO-OPT,NFO
14098178,55071,BANKNIFTY2331638200CE,BANKNIFTY,0.0,2023-03-16,38200.0,0.05,25,CE,NFO-OPT,NFO
14098434,55072,BANKNIFTY2331638200PE,BANKNIFTY,0.0,2023-03-16,38200.0,0.05,25,PE,NFO-OPT,NFO
14098690,55073,BANKNIFTY2331638300CE,BANKNIFTY,0.0,2023-03-16,38300.0,0.05,25,CE,NFO-OPT,NFO
14098946,55074,BANKNIFTY2331638300PE,BANKNIFTY,0.0,2023-03-16,38300.0,0.05,25,PE,NFO-OPT,NFO
14099202,55075,BANKNIFTY2331638400CE,BANKNIFTY,0.0,2023-03-16,38400.0,0.05,25,CE,NFO-OPT,NFO
14099458,55076,BANKNIFTY2331638400PE,BANKNIFTY,0.0,2023-03-16,38400.0,0.05,25,PE,NFO-OPT,NFO
14099714,55077,BANKNIFTY2331638500CE,BANKNIFTY,0.0,2023-03-16,38500.0,0.05,25,CE,NFO-OPT,NFO
14099970,55078,BANKNIFTY2331638500PE,BANKNIFTY,0.0,2023-03-16,38500.0,0.05,25,PE,NFO-OPT,NFO
14100226,55079,BANKNIFTY2331638600CE,BANKNIFTY,0.0,2023-03-16,38600.0,0.05,25,CE,NFO-OPT,NFO
14100482,55080,BANKNIFTY2331638600PE,BANKNIFTY,0.0,2023-03-16,38600.0,0.05,25,PE,NFO-OPT,NFO
14100738,55081,BANKNIFTY2331638700CE,BANKNIFTY,0.0,2023-03-16,38700.0,0.05,25,CE,NFO-OPT,NFO
14100994,55082,BANKNIFTY2331638700PE,BANKNIFTY,0.0,2023-03-16,38700.0,0.05,25,PE,NFO-OPT,NFO
14101250,55083,BANKNIFTY2331638800CE,BANKNIFTY,0.0,2023-03-16,38800.0,0.05,25,CE,NFO-OPT,NFO
14101506,55084,BANKNIFTY2331638800PE,BANKNIFTY,0.0,2023-03-16,38800.0,0.05,25,PE,NFO-OPT,NFO
